imgid,x_gt,y_gt,z_gt,omega_gt,phi_gt,kappa_gt,x_gps,y_gps,z_gps,,Timpstemp,t_s,ex,ey,ez_signed,e_h
1,465666.057548,5247973.646622,469.019496,95.538828,-73.283629,9.170787,465670.706847,5247978.033438,464.910004, ,7009129.0,7.009129,4.64929899998242,4.386815999634564,-4.109491999999989,6.392193348600098
31,465665.957153,5247973.611734,469.70929,96.242463,-74.376423,10.138757,465671.064464,5247977.231159,466.324005, ,7988182.0,7.988182,5.107310999999754,3.619424999691546,-3.3852850000000103,6.25978138429056
61,465665.909026,5247973.676972,469.997052,98.277619,-77.413693,12.546079,465671.570117,5247977.217092,467.265015, ,9002265.0,9.002265,5.661091000016313,3.5401200000196695,-2.732036999999991,6.676855616606141
91,465665.829212,5247973.715876,470.127735,98.665721,-76.989201,13.114321,465671.879377,5247977.181944,467.740997, ,9998204.0,9.998204,6.050164999964181,3.466067999601364,-2.38673799999998,6.972669783135595
121,465665.782634,5247973.631864,470.199503,98.874849,-77.131451,13.434804,465672.410589,5247977.667845,467.507996, ,10997044.0,10.997044,6.627954999974463,4.035980999469757,-2.6915070000000014,7.760085702475675
151,465665.595499,5247973.569697,470.621347,99.324791,-77.081751,14.166707,465672.419495,5247977.901182,467.237, ,11988960.0,11.98896,6.823995999991894,4.331484999507666,-3.384346999999991,8.082616142615292
181,465665.469848,5247973.536518,470.943083,99.597429,-77.343329,14.620209,465672.156294,5247978.069425,466.829987, ,12990712.0,12.990712,6.686446000006981,4.53290699981153,-4.1130959999999845,8.078106583844368
211,465665.496991,5247973.448533,471.014317,100.267149,-77.427259,15.342182,465671.802713,5247978.271538,466.662994, ,13989764.0,13.989764,6.3057219999609515,4.8230049991980195,-4.351322999999979,7.938734607170127
241,465665.472788,5247973.300544,471.102999,98.379955,-75.365657,13.571125,465671.902457,5247978.548799,466.742004, ,14990721.0,14.990721,6.429668999975547,5.2482549995183945,-4.360995000000003,8.299688186264373
271,465665.414829,5247973.240896,471.297857,97.179365,-73.866379,12.61232,465671.955812,5247978.637396,466.695007, ,15983557.0,15.983557,6.540982999955304,5.396500000730157,-4.602850000000046,8.479780118822944
